name,salary,experience,time,company,address,tags,hh_link,field
Аналитик рынка недвижимости,,Требуемый опыт работы: 3–6 лет,"Полная занятость, полный день",Петербургская Недвижимость,Санкт,[],https://odintsovo.hh.ru/vacancy/81352710,Data Analyst
Аналитик данных,,Требуемый опыт работы: 1–3 года,"Полная занятость, полный день",Парфюмерно-косметический супермаркет Золотое Яблоко,Екатеринбург,"['SQL', 'Анализ данных', 'Аналитическое мышление', 'Аналитические исследования']",https://odintsovo.hh.ru/vacancy/93467202,Data Analyst
Младший маркетолог-аналитик,60000 до 80000 ₽ на руки,Требуемый опыт работы: 1–3 года,"Полная занятость, полный день",Петербургская Недвижимость,Санкт,[],https://odintsovo.hh.ru/vacancy/93092216,Analyst
Системный аналитик (SberSource),,Требуемый опыт работы: 3–6 лет,"Полная занятость, полный день",Сбер для экспертов,Москва,[],https://odintsovo.hh.ru/vacancy/93590928,System Analyst
Аналитик,120000 ₽ до вычета налогов,Требуемый опыт работы: 1–3 года,"Полная занятость, полный день",Polaris,Москва,[],https://odintsovo.hh.ru/vacancy/91448047,Analyst
Руководитель направления риск данных (операционные риски),,Требуемый опыт работы: 1–3 года,"Полная занятость, полный день",Сбер для экспертов,Москва,"['операционные риски', 'ИТ риски', 'методология']",https://odintsovo.hh.ru/vacancy/93594958,Analyst
Cистемный аналитик / Senior system analyst (Депозитарий),,Требуемый опыт работы: 3–6 лет,"Полная занятость, полный день",ООО ГК Иннотех | Финтех (Иннотех),Москва,"['BPMN', 'Scrum', 'Atlassian Jira', 'XML', 'SOAP', 'UML', 'IDEF', 'Системный анализ', 'Agile', 'REST']",https://odintsovo.hh.ru/vacancy/88249065,System Analyst
Digital - Аналитик (Курск),,Требуемый опыт работы: 1–3 года,"Полная занятость, полный день",Представительство торговой марки Kabrita в России,Курск,"['Google Analytics', 'Составление семантического ядра', 'Аналитика', 'Оптимизация бизнес-процессов', 'Аналитическое мышление', 'SEO', 'Google AdWords', 'Power BI', 'Анализ данных', 'Маркетинговый анализ']",https://odintsovo.hh.ru/vacancy/92932010,Data Analyst
Главный аудитор-аналитик данных,,Требуемый опыт работы: 3–6 лет,"Полная занятость, полный день",Сбер для экспертов,Москва,[],https://odintsovo.hh.ru/vacancy/93509649,Data Analyst
Аналитик отдела продаж,,Требуемый опыт работы: 1–3 года,"Полная занятость, полный день",Аванта,Москва,"['Аналитическое мышление', 'SQL', 'QlikView', 'MS Excel', 'ETL']",https://odintsovo.hh.ru/vacancy/93585149,Data Analyst
Аналитик,,Требуемый опыт работы: не требуется,"Полная занятость, полный день",Syndicate Group,Москва,"['Анализ данных', 'MS Excel', 'Аналитическое мышление', 'SQL', 'Python', 'Data Analysis']",https://odintsovo.hh.ru/vacancy/92582364,Data Analyst
Аналитик,,Требуемый опыт работы: 1–3 года,"Полная занятость, удаленная работа",RAKETA,Екатеринбург,"['Бизнес-анализ', 'Анализ данных', 'Техническая документация', 'SQL']",https://odintsovo.hh.ru/vacancy/93226692,Data Analyst
Аналитик,50000 до 70000 ₽ до вычета налогов,Требуемый опыт работы: 1–3 года,"Полная занятость, удаленная работа",Юрент,Москва,"['Аналитика продаж', 'ВПР', 'Power Query', 'Google таблицы', 'Exel', 'Работа с большим объемом информации', 'Точность и внимательность к деталям']",https://odintsovo.hh.ru/vacancy/93226887,Data Analyst
Помощник финансового аналитика,60000 до 60000 ₽ на руки,Требуемый опыт работы: 1–3 года,"Полная занятость, полный день",ООО Ташир-М,Москва,[],https://odintsovo.hh.ru/vacancy/91544687,Finance Analyst
Аналитик по товародвижению,70000 ₽ на руки,Требуемый опыт работы: 1–3 года,"Полная занятость, полный день",Аптека Миницен,Хабаровск,[],https://odintsovo.hh.ru/vacancy/92661872,Analyst
Оператор ПК - аналитик,35000 ₽ на руки,Требуемый опыт работы: не требуется,"Полная занятость, полный день",АО Союзпечать-Алтай,Барнаул,"['1С', 'Работа с базами данных', 'MS Excel']",https://odintsovo.hh.ru/vacancy/92364407,Analyst
"Аналитик, Аналитик данных",125000 ₽ до вычета налогов,Требуемый опыт работы: 1–3 года,"Полная занятость, полный день",ООО Рево Чардж Рус,Москва,"['Анализ данных', 'Прогнозирование', 'Аналитика', 'Аналитическое мышление', 'Статистический анализ', 'Рабо    та с базами данных', 'Работа с большим объемом информации']",https://odintsovo.hh.ru/vacancy/93464939,Data Analyst
Аналитик игрового проекта,,Требуемый опыт работы: 1–3 года,"Полная занятость, полный день",Иннова,Москва,"['SQL', 'Математическая статистика']",https://odintsovo.hh.ru/vacancy/92357793,Data Analyst
Ведущий системный аналитик,,Требуемый опыт работы: 3–6 лет,"Полная занятость, удаленная работа",Лига Цифровой Экономики,Москва,"['Разработка технических заданий', 'Системный анализ', 'BPMN', 'Системный подход', 'Деловая коммуникация', 'SQL', 'UML', 'JSON']",https://odintsovo.hh.ru/vacancy/93286494,System Analyst
Аналитик данных,,Требуемый опыт работы: 1–3 года,"Полная занятость, полный день",Ozon Офис и Коммерция,Москва,"['MS SQL', 'Python', 'Анализ данных', 'Сбор и анализ информации', 'Power BI']",https://odintsovo.hh.ru/vacancy/90136465,Data Analyst
Маркетинговый аналитик (исследователь),,Требуемый опыт работы: 1–3 года,"Полная занятость, удаленная работа",ООО ФЛАУВАУ,Москва,[],https://odintsovo.hh.ru/vacancy/93584625,Analyst
Аналитик розничных продаж,130000 до 130000 ₽ на руки,Требуемый опыт работы: 1–3 года,"Полная занятость, полный день","Красное & Белое, розничная сеть",Москва,"['MS Excel', 'Аналитика продаж', 'Анализ данных', 'Olap', 'Автоматизация процессов', 'Подготовка отчетов']",https://odintsovo.hh.ru/vacancy/91929116,Data Analyst
Аналитик данных,,Требуемый опыт работы: не требуется,"Полная занятость, полный день",ИП Чернядьева Екатерина Анатольевна,Киров,"['MS Excel', 'Google таблицы', 'Работа с базами данных', 'Аналитический склад ума', 'Точность и внимательность к деталям', 'Ориентация на результат']",https://odintsovo.hh.ru/vacancy/93234978,Data Analyst
Аналитик,45000 ₽ на руки,Требуемый опыт работы: 1–3 года,"Полная занятость, полный день",Региональный кадровый центр здравоохранения Тюменской области,Тюмень,"['MS Office', 'Сбор и анализ информации', 'Базы данных', 'Работа с большим объемом информации', 'Работа с базами данных', 'Разработка технических заданий', 'Разработка регламентов', 'Оптимизация бизнес процессов', '1С-Битрикс']",https://odintsovo.hh.ru/vacancy/86508603,Data Analyst
Младший аналитик продаж,,Требуемый опыт работы: 1–3 года,"Полная занятость, полный день",ИДС Боржоми,Москва,"['MS PowerPoint', 'Аналитические исследования', 'Регрессионный анализ', 'EViews', 'Статистический анализ']",https://odintsovo.hh.ru/vacancy/93583089,Analyst
Аналитик баз данных/ продуктовый аналитик (экономист),40000 до 50000 ₽ на руки,Требуемый опыт работы: 1–3 года,"Полная занятость, полный день",ООО Жар Свежар,Казань,"['Аналитическое мышление', 'Экономический анализ', 'Финансовый анализ', 'Анализ данных', 'Power BI', 'MS Power BI', 'Анализ финансовых показателей', 'Аналитические исследования', 'Базы данных', '1С: Бухгалтерия', '1С: Зарплата и управление персоналом', 'MS Excel', 'Подготовка отчетов', 'Анализ бизнес показателей']",https://odintsovo.hh.ru/vacancy/91922231,Data Analyst
Аналитик данных,80000 до 98000 ₽ до вычета налогов,Требуемый опыт работы: 1–3 года,"Полная занятость, полный день",ГКУ города Москвы Центр занятости населения города Москвы,Москва,[],https://odintsovo.hh.ru/vacancy/92010795,Data Analyst
Аналитик,,Требуемый опыт работы: 1–3 года,"Полная занятость, полный день",Lamoda,Москва,"['SQL', 'MS Excel', 'SAP', 'Access', 'Power BI', 'Работа с большим объемом информации']",https://odintsovo.hh.ru/vacancy/93544423,Data Analyst
Аналитик данных,,Требуемый опыт работы: 1–3 года,"Полная занятость, полный день",Полюс,Владивосток,[],https://odintsovo.hh.ru/vacancy/93438529,Data Analyst
Аналитик данных,40000 до 60000 ₽ на руки,Требуемый опыт работы: 1–3 года,"Полная занятость, полный день",ООО Квалитет Трейд,Нижний,"['Аналитическое мышление', 'Работа с большим объемом информации', 'Сбор и анализ информации', 'переговоры с партнерами', 'MS Excel', 'Анализ данных', 'Работа с базами данных', 'Прогнозирование']",https://odintsovo.hh.ru/vacancy/92807870Data Analyst
Аналитик данных,,Требуемый опыт работы: 1–3 года,"Полная занятость, полный день",Ozon Fintech,Воронеж,[],https://odintsovo.hh.ru/vacancy/93098154,Data Analyst
Аналитик,80000 ₽ до вычета налогов,Требуемый опыт работы: 1–3 года,"Полная занятость, полный день","Компания «СПОРТМАСТЕР», Логистика",Балашиха,"['SQL', 'Базы данных', 'Аналитика', 'Аналитическое мышление', 'Power BI', 'Анализ данных', 'Tableau']",https://odintsovo.hh.ru/vacancy/93539068,Data Analyst
Аналитик,80000 ₽ до вычета налогов,Требуемый опыт работы: 1–3 года,"Полная занятость, полный день","Компания «СПОРТМАСТЕР», Логистика",Москва,"['SQL', 'Базы данных', 'Аналитика', 'Аналитическое мышление', 'Power BI', 'Анализ данных', 'Tableau']",https://odintsovo.hh.ru/vacancy/93539069,Data Analyst
