,field,salary,experience,company,address,tags,job type,job hours,sql,python,анализ данных,аналитическое мышление,postgresql,etl,ms excel,аналитика,power bi,работа с большим объемом информации,работа с базами данных,системный анализ,linux,clickhouse,bpmn,data analysis,английский язык,dwh,базы данных,бизнес-анализ,ml,big data,git,ms sql,uml,machine learning,spark,airflow,hadoop,docker,kafka,аналитические исследования,сбор и анализ информации,математическая статистика,английскийb1 — средний,разработка технических заданий,английскийb2 — средне-продвинутый,rest,kubernetes,ms powerpoint,анализ бизнес показателей,tableau,data science,pandas,oracle,pytorch,nlp,постановка задач разработчикам,atlassian jira,a/b тесты
47,Data Analyst,75000.0,1–3 года,ООО ГК ТОЧНО,Краснодар,финансовый анализ финансовый контроль статистика анализ финансовых показателей формирование бюджета планирование строительство статистический анализ аналитическое мышление бюджетирование ценообразование управленческая отчетность финансовое моделирование,полная занятость,полный день,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,System Analyst,200000.0,более 6 лет,ИП Зубченко Вероника Сергеевна,Москва,системный анализ,частичная занятость,удаленная работа,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Data Analyst,0.0,1–3 года,Frank RG,Москва,ms powerpoint excel подготовка презентаций анализ рынка исследования рынка консалтинг маркетинговые исследования investment banking market research research аналитика управление проектами прогнозирование впр сводные таблицы анализ конкурентной среды базы данных стратегический консалтинг сбор и анализ информации benchmarking бизнес-анализ английский\xa0— b1 — средний,полная занятость,полный день,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
50,Data Analyst,0.0,1–3 года,3Logic Group,Москва,python sql vba powershell анализ данных ms sql pandas математическая статистика статистический анализ аналитика базы данных data analysis numpy,полная занятость,полный день,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
51,Data Analyst,0.0,не требуется,Компания CADesign,Иваново,,полная занятость,полный день,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,System Analyst,0.0,3–6 лет,USETECH,Нижний,sql uml bpmn api,полная занятость,удаленная работа,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,System Analyst,0.0,1–3 года,Т1 Консалтинг,Москва,,полная занятость,удаленная работа,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Data Analyst,100000.0,1–3 года,"Миллениум, ГК",Ростов,аналитическое мышление анализ данных 1с ms excel сводные таблицы системное мышление анализ ассортиментной линейки power bi навыки презентации аналитика продаж,полная занятость,полный день,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Data Analyst,0.0,3–6 лет,Технорос,Санкт-Петербург,бизнес-анализ аналитика сбор и анализ информации анализ данных 1с: управление предприятием ут11 my sap erp,полная занятость,полный день,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Data Analyst,0.0,1–3 года,Сбер для экспертов,Санкт-Петербург,,полная занятость,полный день,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,System Analyst,0.0,3–6 лет,Тинькофф,Ижевск,bpmn uml sql системный анализ бизнес-анализ,полная занятость,полный день,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Data Analyst,40890.0,1–3 года,Яндекс Команда для бизнеса,Воронеж,,полная занятость,полный день,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,System Analyst,0.0,1–3 года,АО Научно-производственная фирма Микран,Томск,,полная занятость,полный день,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Data Analyst,0.0,3–6 лет,"«Почта России», Офис",Москва,аналитическое мышление анализ бизнес показателей аналитика прогнозирование экономический анализ стратегическое мышление финансовый анализ vba sql power bi бизнес-анализ анализ данных сводные таблицы,полная занятость,полный день,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
61,System Analyst,108750.0,1–3 года,KTE Labs,Тула,ms powerpoint sql аналитическое мышление аналитические исследования ms access грамотность грамотная речь bpmn,полная занятость,удаленная работа,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
62,Data DevOps,0.0,1–3 года,Brandquad,Волгоград,английский язык аналитическое мышление ms excel работа с большим объемом информации работа с базами данных анализ данных аналитика впр английский\xa0— b1 — средний,полная занятость,полный день,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Data Analyst,0.0,1–3 года,КОНТРОЛ лизинг,Москва,data lens power bi ms excel sql,полная занятость,полный день,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Data Analyst,0.0,3–6 лет,Петербургская Недвижимость,Санкт-Петербург,,полная занятость,полный день,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Data Analyst,0.0,1–3 года,Парфюмерно-косметический супермаркет Золотое Яблоко,Екатеринбург,sql анализ данных аналитическое мышление аналитические исследования,полная занятость,полный день,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Data Analyst,70000.0,1–3 года,Петербургская Недвижимость,Санкт-Петербург,,полная занятость,полный день,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
